Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_matmul, 0.000437661, 0.000341508, 0.000395522, 0.000380557, 0.000399455, 25, 25, 25, 3 , 2
fO3native_matmul, 0.000446672, 0.000370128, 0.000368887, 0.000405788, 0.000394786, 50, 50, 50, 3 , 2
fO3native_matmul, 0.000605043, 0.000718643, 0.00052517, 0.000661214, 0.000604589, 100, 100, 100, 3 , 2
fO3native_matmul, 0.0135799, 0.0197613, 0.0162059, 0.0182085, 0.014514, 500, 500, 500, 3 , 2
fO3native_matmul, 0.0640178, 0.0659818, 0.0693987, 0.0682288, 0.0681784, 1000, 1000, 1000, 3 , 2
fO3native_matmul, 0.516016, 0.528223, 0.536605, 0.526816, 0.518684, 2000, 2000, 2000, 3 , 2
fO3native_matmul, 4.02501, 3.97458, 3.97524, 3.94474, 3.93262, 4000, 4000, 4000, 3 , 2
fO3native_scalar, 0.000137743, 0.000202073, 9.432e-05, 0.000116169, 0.000172549, 10, 10, 10, 4 , 2
fO3native_scalar, 0.000103396, 0.000107739, 9.8505e-05, 0.000112086, 9.9472e-05, 25, 25, 25, 4 , 2
fO3native_scalar, 0.000113204, 0.000139223, 9.1986e-05, 9.4782e-05, 0.000112091, 50, 50, 50, 4 , 2
fO3native_scalar, 0.000161639, 0.000162867, 0.000155233, 0.00016839, 0.000149933, 100, 100, 100, 4 , 2
fO3native_scalar, 0.00178993, 0.00221734, 0.00182621, 0.00223172, 0.00204667, 500, 500, 500, 4 , 2
fO3native_scalar, 0.00343267, 0.00397905, 0.00394192, 0.00369435, 0.00351092, 1000, 1000, 1000, 4 , 2
fO3native_scalar, 0.015978, 0.0182483, 0.0163885, 0.01666, 0.0193963, 2000, 2000, 2000, 4 , 2
fO3native_scalar, 0.0702477, 0.0680691, 0.0686789, 0.0681696, 0.0680708, 4000, 4000, 4000, 4 , 2
fO3native_transpose, 8.7195e-05, 6.4294e-05, 4.3638e-05, 6.1041e-05, 4.3947e-05, 10, 10, 10, 5 , 2
fO3native_transpose, 5.7804e-05, 4.4732e-05, 7.0324e-05, 6.1883e-05, 6.9848e-05, 25, 25, 25, 5 , 2
fO3native_transpose, 7.4179e-05, 7.2853e-05, 0.000100453, 8.4645e-05, 6.4842e-05, 50, 50, 50, 5 , 2
fO3native_transpose, 0.000113468, 0.00011638, 0.000111628, 9.0386e-05, 0.000131492, 100, 100, 100, 5 , 2
fO3native_transpose, 0.00111338, 0.00120353, 0.00122294, 0.00108072, 0.000964628, 500, 500, 500, 5 , 2
fO3native_transpose, 0.00312851, 0.00324772, 0.0032867, 0.00312758, 0.00334803, 1000, 1000, 1000, 5 , 2
fO3native_transpose, 0.0155042, 0.0238223, 0.0248136, 0.0184914, 0.022984, 2000, 2000, 2000, 5 , 2
fO3native_transpose, 0.114063, 0.113811, 0.115706, 0.114296, 0.116751, 4000, 4000, 4000, 5 , 2
fO3native_sub_mul, 8.7391e-05, 0.000150631, 5.1566e-05, 6.9905e-05, 7.1157e-05, 10, 10, 10, 6 , 2
fO3native_sub_mul, 8.1554e-05, 5.6502e-05, 9.393e-05, 8.3439e-05, 5.8876e-05, 25, 25, 25, 6 , 2
fO3native_sub_mul, 0.000105306, 9.971e-05, 7.4701e-05, 0.000102667, 9.0564e-05, 50, 50, 50, 6 , 2
fO3native_sub_mul, 0.000143555, 0.000121118, 0.000164087, 0.0001617, 0.000162499, 100, 100, 100, 6 , 2
fO3native_sub_mul, 0.00250031, 0.00223038, 0.0023917, 0.00224559, 0.00231656, 500, 500, 500, 6 , 2
fO3native_sub_mul, 0.00599897, 0.00600383, 0.00708889, 0.00761217, 0.00627308, 1000, 1000, 1000, 6 , 2
fO3native_sub_mul, 0.0439306, 0.0441051, 0.0434534, 0.0433232, 0.0426816, 2000, 2000, 2000, 6 , 2
fO3native_sub_mul, 0.164019, 0.164751, 0.167339, 0.159399, 0.174428, 4000, 4000, 4000, 6 , 2
fO3native_add, 0.000111795, 9.2066e-05, 0.000107735, 7.6465e-05, 0.000128226, 10, 10, 10, 1 , 4
fO3native_add, 0.000106759, 7.4247e-05, 0.000122446, 7.3114e-05, 7.9964e-05, 25, 25, 25, 1 , 4
fO3native_add, 0.00011276, 0.000157271, 0.000110697, 0.000111539, 0.000112492, 50, 50, 50, 1 , 4
fO3native_add, 0.00199876, 0.000142449, 0.000125735, 0.000146247, 0.000160854, 100, 100, 100, 1 , 4
fO3native_add, 0.00130422, 0.0011364, 0.00139929, 0.002132, 0.00128509, 500, 500, 500, 1 , 4
fO3native_add, 0.00416797, 0.00391985, 0.00306585, 0.00390398, 0.00383689, 1000, 1000, 1000, 1 , 4
fO3native_add, 0.0200619, 0.0199344, 0.020224, 0.0216286, 0.0201871, 2000, 2000, 2000, 1 , 4
fO3native_add, 0.0685692, 0.0689491, 0.0746594, 0.0757613, 0.0743314, 4000, 4000, 4000, 1 , 4
fO3native_sub, 0.000110955, 9.5104e-05, 7.8828e-05, 8.2681e-05, 0.00010987, 10, 10, 10, 2 , 4
fO3native_sub, 0.000103315, 0.000115784, 0.000101032, 9.1743e-05, 9.034e-05, 25, 25, 25, 2 , 4
fO3native_sub, 0.0001091, 8.768e-05, 9.4642e-05, 8.256e-05, 0.000104418, 50, 50, 50, 2 , 4
fO3native_sub, 0.00013731, 0.000136369, 0.000148856, 0.000121743, 0.00012425, 100, 100, 100, 2 , 4
fO3native_sub, 0.00118496, 0.00109241, 0.00115476, 0.00386792, 0.00118021, 500, 500, 500, 2 , 4
fO3native_sub, 0.00394098, 0.00378312, 0.0031942, 0.00308251, 0.0031298, 1000, 1000, 1000, 2 , 4
fO3native_sub, 0.0202939, 0.0204112, 0.0207586, 0.0202354, 0.0207041, 2000, 2000, 2000, 2 , 4
fO3native_sub, 0.0746215, 0.0735001, 0.0739682, 0.0744488, 0.0714815, 4000, 4000, 4000, 2 , 4
fO3native_matmul, 0.000481615, 0.000429511, 0.000340541, 0.000383002, 0.000352184, 10, 10, 10, 3 , 4
fO3native_matmul, 0.000422411, 0.000426595, 0.000506979, 0.000394508, 0.000348783, 25, 25, 25, 3 , 4
fO3native_matmul, 0.000851581, 0.000387727, 0.000410386, 0.000449315, 0.000534632, 50, 50, 50, 3 , 4
fO3native_matmul, 0.000675894, 0.000548937, 0.000499294, 0.000544641, 0.000505636, 100, 100, 100, 3 , 4
fO3native_matmul, 0.0152748, 0.0130763, 0.0163472, 0.0157676, 0.0147336, 500, 500, 500, 3 , 4
fO3native_matmul, 0.0719997, 0.0682065, 0.071001, 0.0717332, 0.0756025, 1000, 1000, 1000, 3 , 4
fO3native_matmul, 0.550828, 0.527603, 0.545031, 0.535177, 0.527136, 2000, 2000, 2000, 3 , 4
fO3native_matmul, 4.0517, 4.1006, 3.95197
