Config, run1, run2, run3, run4, run5, M, N, R, operation
fO3_transpose, 0.0138928, 0.0151952, 0.0148719, 0.0136877, 0.0130329, 2000, 2000, 2000, 5
fO3_transpose, 0.120702, 0.12854, 0.121834, 0.122663, 0.12128, 4000, 4000, 4000, 5
fO3_sub_mul, 5.1456e-05, 5.6149e-05, 4.9858e-05, 5.8414e-05, 5.3033e-05, 100, 100, 100, 6
fO3_sub_mul, 0.00178529, 0.00164753, 0.0017042, 0.00164022, 0.00172009, 500, 500, 500, 6
fO3_sub_mul, 0.00472441, 0.00503561, 0.00473733, 0.00553463, 0.00595583, 1000, 1000, 1000, 6
fO3_sub_mul, 0.0324228, 0.035057, 0.0340245, 0.0351483, 0.0335, 2000, 2000, 2000, 6
fO3_sub_mul, 0.129374, 0.133495, 0.138919, 0.135208, 0.127689, 4000, 4000, 4000, 6
fO3native_add, 2.6358e-05, 2.3207e-05, 2.4512e-05, 2.2931e-05, 2.4437e-05, 100, 100, 100, 1
fO3native_add, 0.000781033, 0.000865612, 0.000892854, 0.000785168, 0.000773329, 500, 500, 500, 1
fO3native_add, 0.00231518, 0.00222997, 0.002315, 0.00275229, 0.00247653, 1000, 1000, 1000, 1
fO3native_add, 0.0180296, 0.0187287, 0.0138561, 0.0160291, 0.0155151, 2000, 2000, 2000, 1
fO3native_add, 0.0580744, 0.0573554, 0.0564612, 0.059672, 0.0583237, 4000, 4000, 4000, 1
fO3native_sub, 2.4922e-05, 2.7433e-05, 2.3981e-05, 2.4532e-05, 2.5716e-05, 100, 100, 100, 2
fO3native_sub, 0.000793376, 0.000870971, 0.000980312, 0.001069, 0.00103368, 500, 500, 500, 2
fO3native_sub, 0.00226926, 0.00217562, 0.00226475, 0.0026597, 0.00266588, 1000, 1000, 1000, 2
fO3native_sub, 0.0124093, 0.0126471, 0.0129606, 0.0128365, 0.011063, 2000, 2000, 2000, 2
fO3native_sub, 0.0598542, 0.059894, 0.0621557, 0.0607038, 0.0599144, 4000, 4000, 4000, 2
fO3native_matmul, 0.00118818, 0.000843478, 0.000844463, 0.000839043, 0.00161859, 100, 100, 100, 3
fO3native_matmul, 0.123995, 0.126399, 0.124156, 0.126199, 0.125843, 500, 500, 500, 3
fO3native_scalar, 2.508e-05, 3.0461e-05, 3.9666e-05, 2.8241e-05, 2.4648e-05, 100, 100, 100, 4
fO3native_scalar, 0.000674578, 0.000672613, 0.000622498, 0.000659597, 0.000569132, 500, 500, 500, 4
fO3native_scalar, 0.00189786, 0.00217257, 0.00201198, 0.00212311, 0.00210103, 1000, 1000, 1000, 4
fO3native_scalar, 0.00671183, 0.00636227, 0.00626854, 0.00641174, 0.00629514, 2000, 2000, 2000, 4
fO3native_scalar, 0.0587293, 0.0585407, 0.0617332, 0.0611578, 0.0610629, 4000, 4000, 4000, 4
fO3native_transpose, 3.1385e-05, 2.9596e-05, 3.0562e-05, 3.2316e-05, 2.7714e-05, 100, 100, 100, 5
fO3native_transpose, 0.000879184, 0.000829288, 0.00076535, 0.00103951, 0.000862678, 500, 500, 500, 5
fO3native_transpose, 0.00319871, 0.00310199, 0.00326752, 0.00329256, 0.00321234, 1000, 1000, 1000, 5
fO3native_transpose, 0.0130109, 0.0134303, 0.014659, 0.0133955, 0.0132402, 2000, 2000, 2000, 5
fO3native_transpose, 0.126254, 0.12511, 0.121866, 0.122019, 0.130428, 4000, 4000, 4000, 5
fO3native_sub_mul, 7.0219e-05, 5.4136e-05, 6.5974e-05, 5.703e-05, 5.1511e-05, 100, 100, 100, 6
fO3native_sub_mul, 0.00183462, 0.00177043, 0.00174523, 0.0016956, 0.0016398, 500, 500, 500, 6
fO3native_sub_mul, 0.00488233, 0.00523094, 0.00540562, 0.00589092, 0.00527046, 1000, 1000, 1000, 6
fO3native_sub_mul, 0.0351716, 0.036588, 0.0342134, 0.0356101, 0.036095, 2000, 2000, 2000, 6
fO3native_sub_mul, 0.127297, 0.137888, 0.137858, 0.133409, 0.134233, 4000, 4000, 4000, 6
