Config, run1, run2, run3, run4, run5, M, N, R, operation
O3_scalar, 0.00110058, 0.00107135, 0.00107634, 0.0010604, 0.00145759, 500, 500, 500, 4
O3_scalar, 0.00253393, 0.0162563, 0.00469182, 0.00526334, 0.00768467, 1000, 1000, 1000, 4
O3_scalar, 0.0191992, 0.0233572, 0.0233585, 0.0190261, 0.0205269, 2000, 2000, 2000, 4
O3_scalar, 0.0715914, 0.0705599, 0.0710236, 0.0711597, 0.0709806, 4000, 4000, 4000, 4
O3_transpose, 0.000251707, 0.00303784, 0.000220802, 0.000818873, 0.000196572, 100, 100, 100, 5
O3_transpose, 0.00121086, 0.00123193, 0.00179014, 0.00803058, 0.00263649, 500, 500, 500, 5
O3_transpose, 0.00792562, 0.00853504, 0.010289, 0.00929134, 0.00831607, 1000, 1000, 1000, 5
O3_transpose, 0.0246816, 0.0224555, 0.021393, 0.0218882, 0.0217004, 2000, 2000, 2000, 5
O3_transpose, 0.0907736, 0.0921494, 0.0913517, 0.0911045, 0.0938255, 4000, 4000, 4000, 5
O3_sub_mul, 0.000292141, 0.00139545, 0.0013276, 0.000263089, 0.00023154, 100, 100, 100, 6
O3_sub_mul, 0.00237078, 0.00323296, 0.00343639, 0.00439246, 0.00473187, 500, 500, 500, 6
O3_sub_mul, 0.04427, 0.026101, 0.0320467, 0.0183421, 0.0246406, 1000, 1000, 1000, 6
O3_sub_mul, 0.0481774, 0.0590906, 0.052812, 0.0527527, 0.0532474, 2000, 2000, 2000, 6
O3_sub_mul, 0.175438, 0.186431, 0.168336, 0.170971, 0.170145, 4000, 4000, 4000, 6
fastmath_add, 0.0015369, 0.000335829, 0.00137462, 0.000441121, 0.00315177, 100, 100, 100, 1
fastmath_add, 0.00503747, 0.00537457, 0.00357907, 0.00921078, 0.00337477, 500, 500, 500, 1
fastmath_add, 0.0130272, 0.0118565, 0.0134424, 0.0137439, 0.0133038, 1000, 1000, 1000, 1
fastmath_add, 0.0502179, 0.0604901, 0.0636271, 0.0506634, 0.0498872, 2000, 2000, 2000, 1
fastmath_add, 0.197716, 0.201843, 0.19847, 0.198534, 0.197058, 4000, 4000, 4000, 1
fastmath_sub, 0.00034789, 0.00319109, 0.000526721, 0.000536942, 0.000550483, 100, 100, 100, 2
fastmath_sub, 0.00340184, 0.00361315, 0.00362123, 0.00388849, 0.00348168, 500, 500, 500, 2
fastmath_sub, 0.0116008, 0.0124975, 0.0125138, 0.0122173, 0.0131391, 1000, 1000, 1000, 2
fastmath_sub, 0.0499075, 0.0518562, 0.0515013, 0.0518212, 0.0554965, 2000, 2000, 2000, 2
fastmath_sub, 0.197727, 0.198527, 0.196757, 0.20085, 0.198313, 4000, 4000, 4000, 2
fastmath_matmul, 0.015541, 0.0276764, 0.0211853, 0.0352104, 0.0204874, 100, 100, 100, 3
fastmath_matmul, 1.24194, 1.23717, 1.23019, 1.25053, 1.22996, 500, 500, 500, 3
fastmath_matmul, 9.74197, 9.83902, 10.0073, 9.77043, 9.84245, 1000, 1000, 1000, 3
fastmath_matmul
